energy,ncapcount,eventcount
10,0,0.1235
10,1,0.8765
20,0,0.0955
20,1,0.9005
20,2,0.004
30,0,0.0935
30,1,0.871
30,2,0.0355
40,0,0.078
40,1,0.8105
40,2,0.1105
40,3,0.001
50,0,0.074
50,1,0.7345
50,2,0.186
50,3,0.0055
60,0,0.0585
60,1,0.6925
60,2,0.2235
60,3,0.0255
70,0,0.0695
70,1,0.6285
70,2,0.253
70,3,0.0485
70,4,0.0005
80,0,0.0595
80,1,0.586
80,2,0.278
80,3,0.0745
80,4,0.002
90,0,0.043
90,1,0.5195
90,2,0.3205
90,3,0.114
90,4,0.003
100,0,0.048
100,1,0.491
100,2,0.3105
100,3,0.1445
100,4,0.006
200,0,0.019
200,1,0.253
200,2,0.2685
200,3,0.271
200,4,0.143
200,5,0.0405
200,6,0.005
300,0,0.018
300,1,0.1675
300,2,0.215
300,3,0.2385
300,4,0.188
300,5,0.113
300,6,0.0425
300,7,0.0155
300,8,0.0015
300,9,0.0005
400,0,0.014
400,1,0.1365
400,2,0.158
400,3,0.205
400,4,0.1825
400,5,0.1465
400,6,0.0905
400,7,0.043
400,8,0.019
400,9,0.005
500,0,0.008
500,1,0.105
500,2,0.145
500,3,0.1875
500,4,0.1895
500,5,0.1435
500,6,0.1015
500,7,0.07
500,8,0.0305
500,9,0.013
500,10,0.003
500,11,0.0035
600,0,0.006
600,1,0.0955
600,2,0.12
600,3,0.1505
600,4,0.1635
600,5,0.164
600,6,0.1175
600,7,0.0905
600,8,0.052
600,9,0.024
600,10,0.009
600,11,0.006
600,12,0.0015
700,0,0.007
700,1,0.063
700,2,0.097
700,3,0.141
700,4,0.171
700,5,0.1635
700,6,0.133
700,7,0.103
700,8,0.0565
700,9,0.037
700,10,0.0175
700,11,0.0075
700,12,0.002
700,13,0.001
800,0,0.0055
800,1,0.06
800,2,0.083
800,3,0.13
800,4,0.1395
800,5,0.163
800,6,0.1255
800,7,0.101
800,8,0.075
800,9,0.0585
800,10,0.031
800,11,0.015
800,12,0.007
800,13,0.005
800,14,0.001
900,0,0.0025
900,1,0.0495
900,2,0.072
900,3,0.0995
900,4,0.1385
900,5,0.1315
900,6,0.136
900,7,0.126
900,8,0.0965
900,9,0.0645
900,10,0.0395
900,11,0.024
900,12,0.0095
900,13,0.0045
900,14,0.003
900,15,0.0015
900,16,0.0015
1000,0,0.002
1000,1,0.036
1000,2,0.0725
1000,3,0.0935
1000,4,0.1165
1000,5,0.1425
1000,6,0.1295
1000,7,0.124
1000,8,0.0855
1000,9,0.075
1000,10,0.0515
1000,11,0.0335
1000,12,0.0205
1000,13,0.0075
1000,14,0.0065
1000,15,0.0015
1000,16,0.001
1000,17,0.0005
1000,20,0.0005
2000,0,0.002
2000,1,0.0045
2000,2,0.0115
2000,3,0.0205
2000,4,0.0345
2000,5,0.055
2000,6,0.0675
2000,7,0.0915
2000,8,0.096
2000,9,0.096
2000,10,0.0975
2000,11,0.085
2000,12,0.089
2000,13,0.0625
2000,14,0.0585
2000,15,0.0425
2000,16,0.0255
2000,17,0.0225
2000,18,0.014
2000,19,0.0115
2000,20,0.004
2000,21,0.005
2000,22,0.0025
2000,23,0.001
