,rho,z,t
0,0.13973532906563677,0.38967116200000007,195.37675240871502
1,0.782638721014674,3.1755131380000003,342.802867246395
2,1.3336987712567059,0.9610697140000002,103.235430635165
3,0.9663254044286846,0.4885249060000001,101.384818479905
4,0.782638721014674,-0.308284094,121.663694989875
5,2.5373842609866823,4.219821878,11.094108861615002
6,1.2515774770886081,3.44510217,140.091959344585
7,0.782638721014674,0.06540697000000018,418.36653682049507
8,0.04789198735863145,0.38967116200000007,156.669611544035
9,1.7010721380847273,2.076529238,269.08980982755503
